category,work,year,venue_or_status,primary_url,main_focus,direct_overlap,remaining_difference,novelty_risk
prompt_format,"Sclar et al. - Quantifying Language Models' Sensitivity to Spurious Features in Prompt Design",2024,ICLR,https://proceedings.iclr.cc/paper_files/paper/2024/hash/6c0e99d736da621403018ca7b32b1a4d-Abstract-Conference.html,"Meaning-preserving few-shot prompt formatting and FormatSpread","General format sensitivity and weak cross-model transfer","No JSON Schema contract reorderings or repeated stochasticity correction",high
prompt_format,"Kang et al. - When Format Changes Meaning",2025,Findings EMNLP,https://aclanthology.org/2025.findings-emnlp.143/,"Semantic inconsistency under spacing casing and separator variants","Semantically equivalent formatting can change predictions","Not JSON Schema order; no schema-validation oracle; different repeat design",very_high
evaluation_artifact,"Hua et al. - Flaw or Artifact?",2025,EMNLP,https://aclanthology.org/2025.emnlp-main.1006/,"Prompt sensitivity partly caused by rigid evaluation","Challenges disagreement-as-error interpretations","Gold leaf accuracy plus normalized distribution and repeat baseline address but do not eliminate concern",high
output_format,"Ravikumar et al. - Lost in Formatting",2026,EACL,https://aclanthology.org/2026.eacl-long.256/,"Equivalent target output formats for information extraction","Structured information extraction and format sensitivity","Changes target format rather than serialization of one validation-equivalent schema",high
structured_output,"Geng et al. - JSONSchemaBench",2025,arXiv,https://arxiv.org/abs/2501.10868,"Constrained-decoding schema coverage efficiency and quality","Real-world JSON Schemas and structured generation","No semantics-preserving schema reorderings or within-prompt repeat baseline",medium
structured_output,"Singh et al. - The Structured Output Benchmark",2026,arXiv submitted to NeurIPS 2026,https://arxiv.org/abs/2604.25359,"Multi-source benchmark separating schema compliance and value accuracy","Direct dataset source and metric foundation","One schema representation per headline task; structured decoding is an ablation",medium
metamorphic_testing,"Hyun et al. - METAL",2024,ICST,https://arxiv.org/abs/2312.06056,"General metamorphic testing of LLM qualities using text perturbations","Establishes LLM metamorphic testing category","Our relations come from formal interface semantics and use repeated stochasticity correction",medium
standard,"RFC 8259 - The JavaScript Object Notation",2017,IETF Standards Track,https://www.rfc-editor.org/rfc/rfc8259,"Defines objects as unordered collections and arrays as ordered sequences","Normative basis for object-member reorderings","Does not specify LLM behavior",none
standard,"JSON Schema Validation Draft 2020-12",2022,JSON Schema specification,https://json-schema.org/draft/2020-12/json-schema-validation,"Defines validation semantics including required","Normative basis for required-order validation equivalence","Does not specify serialization robustness of generators",none
stochastic_evaluation,"Song et al. - The Good The Bad and The Greedy",2024,arXiv,https://arxiv.org/abs/2407.10457,"LLM evaluation under greedy and sampled non-deterministic generation","Establishes that single-output evaluation can conceal generation variability","Does not isolate a controlled prompt representation intervention or subtract within-condition disagreement",medium
benchmark_variance,"Bouthillier et al. - Accounting for Variance in Machine Learning Benchmarks",2021,MLSys,https://arxiv.org/abs/2103.03098,"Sources of benchmark variance and reliable performance comparisons","Motivates repeated evaluation and explicit meaningful-effect criteria","Focuses on learning-pipeline benchmarking rather than fixed black-box prompt interventions",low
distribution_testing,"Gretton et al. - A Kernel Two-Sample Test",2012,JMLR,https://www.jmlr.org/papers/v13/gretton12a.html,"Maximum mean discrepancy and unbiased two-sample estimators","Provides the distribution-distance and U-statistic context for excess disagreement","General statistical method; no LLM or Schema-specific metamorphic relation",low
api_auditing,"Gao et al. - Model Equality Testing",2025,ICLR,https://openreview.net/forum?id=QCDdI7X3f9,"MMD tests for equality of black-box LLM API and reference distributions","Closest distribution-testing precedent for sampled black-box outputs","Compares endpoint and reference model rather than two validation-equivalent prompt representations",high
coupled_evaluation,"Corvelo Benz et al. - Evaluation of LLMs via Coupled Token Generation",2026,AISTATS,https://arxiv.org/abs/2502.01754,"Controls autoregressive randomness through coupled token generation","Directly addresses randomization as a confound in LLM comparisons","Requires token-level sampling access unavailable for hosted black boxes",medium
metamorphic_testing,"Chen et al. - Metamorphic Testing Review",2018,ACM Computing Surveys,https://doi.org/10.1145/3143561,"Foundations challenges and opportunities for metamorphic testing","Establishes the general software-testing methodology and oracle framing","Predates LLMs and does not cover Schema serialization or stochastic baselines",low
hosted_drift,"Chen et al. - How Is ChatGPT Behavior Changing over Time",2023,arXiv,https://arxiv.org/abs/2307.09009,"Behavioral changes in nominally similar hosted LLM services over time","Motivates dated endpoint metadata hashes and limited reproducibility claims","Studies temporal performance drift rather than equivalent serialization effects",medium
